ano;ano_id;icsap;int_cli_mc;perc_icsap;pandemia;factor_pan
2010;1;65046;215645;"30,1634631";nao;0
2011;2;56808;189277;"30,01315532";nao;0
2012;3;51864;169189;"30,65447517";nao;0
2013;4;52398;176192;"29,7391482";nao;0
2014;5;49480;166647;"29,6915036";nao;0
2015;6;44686;160851;"27,78098986";nao;0
2016;7;40142;142317;"28,20604706";nao;0
2017;8;40557;141157;"28,7318376";nao;0
2018;9;36874;135623;"27,1886037";nao;0
2019;10;36983;143024;"25,85789798";nao;0
2020;11;25929;128869;"20,12043238";sim;1
2021;12;20475;132954;"15,40006318";sim;1
